Stock Invested in,Sector,Value(Mn), % of Total Holdings,1Y Highest Holding,1Y Lowest Holding
K.P.R. Mill Ltd.,Fabrics and garments,2777.3,3.09%,3.53% (Dec 2021),2.89% (Jun 2022)
 Chambal Fertilizers & Chemicals Ltd.,Fertilisers-composite,2761.7,3.07%,3.93% (Jan 2022),2.64% (Jun 2022)
 Nilkamal Ltd.,Plastic products,2642.2,2.94%,4.4% (Sep 2021),2.92% (Jul 2022)
 GHCL Ltd.,Chemicals - inorganic,2327.8,2.59%,3.37% (Apr 2022),2.06% (Dec 2021)
 Triveni Engineering & Industries Ltd.,Sugar,2272.8,2.53%,2.85% (Apr 2022),2% (Sep 2021)
 Ipca Laboratories Ltd.,Pharmaceuticals,2260.1,2.52%,3.5% (Sep 2021),2.52% (Aug 2022)
 eClerx Services Ltd.,It enabled services – software,2147,2.39%,2.64% (Mar 2022),1.81% (Nov 2021)
 Tube Investments Of India Ltd.,Auto ancillaries,2124,2.36%,3.51% (Nov 2021),2.36% (Aug 2022)
 Sheela Foam Ltd.,Houseware,2107.3,2.35%,3.1% (Feb 2022),2.14% (Sep 2021)
 La-Opala RG Ltd.,Glass – consumer,2035.4,2.27%,2.27% (Aug 2022),1.49% (Apr 2022)
 Mold-Tek Packaging Ltd.,Packaging,1973.7,2.20%,2.2% (Aug 2022),1.33% (Sep 2021)
 Greenlam Industries Ltd.,Plywood boards,1797.3,2.00%,2.2% (Jan 2022),1.73% (Sep 2021)
 APL Apollo Tubes Ltd.,Steel products,1697.8,1.89%,2.08% (Nov 2021),1.76% (Jan 2022)
 Shoppers Stop Limited,Retailing,1559.9,1.74%,1.85% (Jun 2022),0.95% (Sep 2021)
 Kajaria Ceramics Ltd.,Sanitary ware,1525.8,1.70%,1.99% (Jan 2022),1.53% (Apr 2022)
 Paradeep Phosphates Ltd.,Fertilizers,1466.4,1.63%,1.63% (Aug 2022),0% (Sep 2021)
 Cera Sanitaryware Ltd.,Sanitary ware,1454.7,1.62%,2.5% (Sep 2021),1.4% (Apr 2022)
 Sharda Cropchem Ltd.,Pesticides and agrochemicals,1413,1.57%,2.45% (May 2022),0.97% (Oct 2021)
 DCB Bank Ltd.,Banks,1404.8,1.56%,1.56% (Aug 2022),1.09% (Mar 2022)
 Manappuram Finance Ltd.,Nbfc,1339.2,1.49%,3.18% (Oct 2021),1.35% (Jun 2022)
 INOX Leisure Ltd.,Flim production,1306.5,-0.62%,2.07% (Jul 2022),
 Dhanuka Agritech Ltd.,Pesticides and agrochemicals,1302.1,1.45%,1.67% (Feb 2022),1.44% (Oct 2021)
 Swaraj Engines Ltd.,Diesel engines,1277.4,1.42%,1.66% (Oct 2021),1.21% (Mar 2022)
 TTK Prestige Ltd.,Houseware,1275.7,1.42%,1.42% (Aug 2022),1.02% (Mar 2022)
 Narayana Hrudayalaya Ltd.,Hospital,1260,1.40%,1.56% (Mar 2022),1.09% (Sep 2021)
 Prism Johnson Ltd.,Sanitary ware,1229.7,1.37%,1.67% (Jan 2022),1.35% (Apr 2022)
 Kalyani Steels Ltd.,Steel,1204.6,1.34%,1.74% (Sep 2021),1.28% (Jul 2022)
 Vst Industries Ltd.,Cigarettes,1198.6,1.33%,1.43% (May 2022),1.2% (Dec 2021)
 Westlife Development Ltd.,Hotels/resorts,1174.1,1.31%,1.31% (Aug 2022),0.98% (Apr 2022)
 Finolex Industries Ltd.,Plastic products,1033.5,1.15%,2.3% (Oct 2021),1.03% (Jul 2022)
 Voltamp Transformers Ltd.,Power equipment,973.9,1.08%,1.44% (Jun 2022),0.72% (Oct 2021)
 SP Apparels Ltd.,Fabrics and garments,972.4,1.08%,1.08% (Aug 2022),0.68% (Oct 2021)
 Siyaram Silk Mills Ltd.,Fabrics and garments,969.6,1.08%,1.94% (Oct 2021),0.96% (Mar 2022)
 Techno Electric & Engineering Co. Ltd.,Engineering, designing,1.08%,-0.05%,
 Equitas Holdings Ltd.,Investment companies,949.1,1.06%,1.06% (Aug 2022),0.72% (Sep 2021)
 LT Foods Ltd.,Consumer food,940,1.05%,1.07% (Apr 2022),0.82% (Nov 2021)
 Vardhman Textiles Ltd.,Spinning-cotton/blended,935,1.04%,1.79% (Feb 2022),0.94% (Jun 2022)
